City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Shenzhen,CN,2021-01-26 00:13:19,22.5455,114.0683,66.0,95,1,3.91
230,Bindura,ZW,2021-01-26 00:13:33,-17.3019,31.3306,63.0,90,100,5.01
231,Prince Rupert,CA,2021-01-26 00:11:04,54.3161,-130.3201,37.4,80,40,2.3
232,Padang,ID,2021-01-26 00:13:33,-0.9492,100.3543,75.2,94,40,1.14
233,Poltavka,RU,2021-01-26 00:13:33,54.3663,71.7632,1.2,94,97,5.99
234,Te Anau,NZ,2021-01-26 00:13:33,-45.4167,167.7167,68.74,62,99,10.89
235,Barrow,US,2021-01-26 00:13:33,71.2906,-156.7887,-5.8,84,1,12.66
236,Nuuk,GL,2021-01-26 00:13:33,64.1835,-51.7216,19.0,62,20,5.75
237,Andros Town,BS,2021-01-26 00:13:34,24.7,-77.7667,73.4,83,75,12.66
238,Port Lincoln,AU,2021-01-26 00:13:34,-34.7333,135.8667,62.56,67,95,11.16
239,Waipawa,NZ,2021-01-26 00:12:56,-41.4122,175.5153,73.4,64,1,23.02
240,Portmore,JM,2021-01-26 00:13:34,17.9702,-76.8672,82.4,61,40,27.63
241,Bahia Blanca,AR,2021-01-26 00:13:34,-38.7196,-62.2724,69.73,53,32,15.68
242,Kutum,SD,2021-01-26 00:12:25,14.2,24.6667,56.61,30,74,7.34
243,Little Current,CA,2021-01-26 00:13:34,45.9793,-81.9248,24.8,68,40,4.61
244,Turukhansk,RU,2021-01-26 00:13:34,65.8167,87.9833,-41.84,78,53,6.51
245,Tilichiki,RU,2021-01-26 00:12:09,60.4667,166.1,2.41,91,100,10.96
246,Clyde River,CA,2021-01-26 00:13:35,70.4692,-68.5914,6.8,92,1,31.07
247,Santa Cruz,BO,2021-01-26 00:11:20,-17.8,-63.1667,77.0,88,75,14.97
248,Uray,RU,2021-01-26 00:13:35,60.1247,64.7758,5.54,95,99,4.79
249,Koudougou,BF,2021-01-26 00:13:35,12.25,-2.3667,72.81,19,17,10.51
250,Vinstra,NO,2021-01-26 00:13:35,61.5952,9.7523,11.61,74,0,4.59
251,Le Port,RE,2021-01-26 00:13:35,-20.9373,55.2919,75.2,78,75,8.05
252,Soyo,AO,2021-01-26 00:13:36,-6.1349,12.3689,79.05,83,89,5.68
253,San Cristobal,VE,2021-01-26 00:13:36,7.7669,-72.225,77.0,73,40,4.61
254,Shibetsu,JP,2021-01-26 00:13:36,43.659,145.132,6.8,85,75,3.44
255,Castro,BR,2021-01-26 00:13:36,-24.7911,-50.0119,64.4,95,100,1.86
256,Ponta Delgada,PT,2021-01-26 00:13:36,37.7333,-25.6667,63.0,94,75,13.8
257,Amga,RU,2021-01-26 00:12:11,60.8953,131.9608,-53.59,70,64,1.74
258,Elliot Lake,CA,2021-01-26 00:13:36,46.3834,-82.6331,24.8,63,90,4.61
259,Tukrah,LY,2021-01-26 00:09:12,32.5341,20.5791,59.18,79,100,8.03
260,Havre-Saint-Pierre,CA,2021-01-26 00:12:22,50.2334,-63.5986,33.8,69,90,17.27
261,Batemans Bay,AU,2021-01-26 00:13:37,-35.7167,150.1833,84.99,67,58,1.01
262,Hami,CN,2021-01-26 00:13:37,42.8,93.45,15.44,80,68,2.35
263,Kavieng,PG,2021-01-26 00:13:37,-2.5744,150.7967,84.85,66,74,4.38
264,Tuatapere,NZ,2021-01-26 00:13:37,-46.1333,167.6833,80.01,47,100,21.99
265,Kungurtug,RU,2021-01-26 00:13:37,50.5994,97.5228,-15.12,81,95,1.61
266,Havre,FR,2021-01-26 00:13:37,49.5833,0.3333,41.0,81,90,9.22
267,Srednekolymsk,RU,2021-01-26 00:13:38,67.45,153.6833,-40.77,80,34,0.38
268,Amapa,BR,2021-01-26 00:13:38,1.0,-52.0,73.08,97,68,2.8
269,Manicore,BR,2021-01-26 00:13:38,-5.8092,-61.3003,74.53,94,83,1.7
270,San Patricio,US,2021-01-26 00:13:38,28.017,-97.5169,78.8,57,1,8.05
271,Hamilton,US,2021-01-26 00:12:13,39.1834,-84.5333,35.01,94,100,1.01
272,Pokhara,NP,2021-01-26 00:13:38,28.2333,83.9833,50.23,39,0,3.62
273,Moroni,KM,2021-01-26 00:13:38,-11.7022,43.2551,78.48,70,79,1.81
274,Samarai,PG,2021-01-26 00:12:23,-10.6167,150.6667,84.96,67,64,4.21
275,Inhambane,MZ,2021-01-26 00:13:39,-23.865,35.3833,79.21,89,100,7.94
276,Kaoma,ZM,2021-01-26 00:13:39,-14.7833,24.8,65.61,94,100,6.4
277,Kloulklubed,PW,2021-01-26 00:13:39,7.0419,134.2556,84.2,74,75,8.05
278,Peace River,CA,2021-01-26 00:09:29,56.2501,-117.286,1.4,71,90,9.22
279,Dunedin,NZ,2021-01-26 00:13:39,-45.8742,170.5036,73.99,62,100,4.0
280,Bubaque,GW,2021-01-26 00:12:04,11.2833,-15.8333,79.09,71,0,10.96
281,Ayagoz,KZ,2021-01-26 00:08:51,47.9714,80.4392,2.88,89,100,7.47
282,Fortuna,US,2021-01-26 00:13:40,40.5982,-124.1573,46.0,81,40,4.61
283,Nanortalik,GL,2021-01-26 00:13:40,60.1432,-45.2371,20.73,88,2,10.92
284,Kartaly,RU,2021-01-26 00:12:10,53.0522,60.6467,27.36,97,52,13.91
285,Kumbo,CM,2021-01-26 00:13:40,6.2,10.6667,59.83,33,23,3.51
286,Victor Harbor,AU,2021-01-26 00:13:40,-35.5667,138.6167,66.0,73,99,4.0
